,C_CID,C_RES,C_Scope,C_URI,R_AC,R_Scope,R_Token,R_data,R_i_state,grant,i_state,CR_AC,CR_CID,CR_GT,CR_Token,CR_URI,Token,UR_AC,UR_CID,UR_GT,UR_URI,data,timeOut,U_AC,U_CID,U_RES,U_Scope,U_URI,U_i_state,label
0,9939,1,2,35500,27643,2,20920,6690,33316,2,33316,27643,9939,2,20920,35500,20920,27643,9939,2,35500,6690,10,27643,9939,1,2,35500,33316,0
1,20513,1,2,44057,20860,2,48076,15616,23222,2,23222,20860,20513,2,48076,44057,48076,20860,20513,2,44057,15616,5,20860,20513,1,2,44057,23222,0
2,12490,1,1,6409,11221,1,17655,35557,47953,2,47953,11221,12490,2,17655,6409,17655,11221,12490,2,6409,35557,3,11221,12490,1,1,6409,47953,0
3,13249,1,2,44294,5880,2,21728,25649,40836,2,40836,5880,13249,2,21728,44294,21728,5880,13249,2,44294,25649,6,5880,13249,1,2,44294,40836,0
4,42294,2,2,665,27144,2,20685,24978,41763,2,41763,27144,42294,2,20685,665,20685,27144,42294,2,665,24978,4,27144,42294,2,2,665,41763,0
5,45698,2,2,47643,40028,2,3753,5838,45031,1,45031,40028,45698,1,3753,47643,3753,40028,45698,1,47643,5838,6,40028,45698,2,2,47643,45031,0
6,32351,2,2,22716,2808,2,29618,35532,25432,1,25432,2808,32351,1,29618,22716,29618,2808,32351,1,22716,35532,3,2808,32351,2,2,22716,25432,0
7,16861,2,1,44336,45760,1,38189,46293,18154,1,18154,45760,16861,1,38189,44336,38189,45760,16861,1,44336,46293,4,45760,16861,2,1,44336,18154,0
8,27430,1,2,41747,28369,2,30062,3594,38621,1,38621,28369,27430,1,30062,41747,30062,28369,27430,1,41747,3594,5,28369,27430,1,2,41747,38621,0
9,16460,1,1,3816,6269,1,11110,39261,34810,1,34810,6269,16460,1,11110,3816,11110,6269,16460,1,3816,39261,10,6269,16460,1,1,3816,34810,0
10,18681,2,2,42368,44482,2,30445,18731,34179,1,34179,44482,18681,1,30445,42368,30445,44482,18681,1,42368,18731,9,44482,18681,2,2,42368,34179,0
11,20192,2,1,35877,32714,1,14556,23362,25673,1,25673,32714,20192,1,14556,35877,14556,32714,20192,1,35877,23362,7,32714,20192,2,1,35877,25673,0
12,20606,1,1,25825,33731,1,5027,46168,41256,1,41256,33731,20606,1,5027,25825,5027,33731,20606,1,25825,46168,5,33731,20606,1,1,25825,41256,0
13,2081,1,1,48208,1974,1,20219,14283,15117,2,15117,1974,2081,2,20219,48208,20219,1974,2081,2,48208,14283,9,1974,2081,1,1,48208,15117,0
14,34352,1,2,10594,21648,2,35252,6439,6447,2,6447,21648,34352,2,35252,10594,35252,21648,34352,2,10594,6439,4,21648,34352,1,2,10594,6447,0
15,33151,1,2,43569,28638,2,25696,2604,45253,2,45253,28638,33151,2,25696,43569,25696,28638,33151,2,43569,2604,10,28638,33151,1,2,43569,45253,0
16,42989,2,2,39886,12530,2,29637,25458,22883,2,22883,12530,42989,2,29637,39886,29637,12530,42989,2,39886,25458,5,12530,42989,2,2,39886,22883,0
17,49032,1,2,10111,46425,2,11637,40648,17477,2,17477,46425,49032,2,11637,10111,11637,46425,49032,2,10111,40648,9,46425,49032,1,2,10111,17477,0
18,4481,1,1,4941,11502,1,43781,10057,23046,2,23046,11502,4481,2,43781,4941,43781,11502,4481,2,4941,10057,4,11502,4481,1,1,4941,23046,0
19,16407,2,2,38397,40270,2,13286,48792,15710,1,15710,40270,16407,1,13286,38397,13286,40270,16407,1,38397,48792,10,40270,16407,2,2,38397,15710,0
20,41268,1,1,19112,41907,1,9051,15685,45690,1,45690,41907,41268,1,9051,19112,9051,41907,41268,1,19112,15685,6,41907,41268,1,1,19112,45690,0
21,44992,2,2,12563,11086,2,49145,19529,38142,1,38142,11086,44992,1,49145,12563,49145,11086,44992,1,12563,19529,6,11086,44992,2,2,12563,38142,0
22,2791,1,1,48265,16851,1,3338,31467,25827,2,25827,16851,2791,2,3338,48265,3338,16851,2791,2,48265,31467,6,16851,2791,1,1,48265,25827,0
23,39189,1,2,11805,44606,2,24028,754,48519,2,48519,44606,39189,2,24028,11805,24028,44606,39189,2,11805,754,4,44606,39189,1,2,11805,48519,0
24,37786,1,1,17554,34630,1,16189,787,10746,2,10746,34630,37786,2,16189,17554,16189,34630,37786,2,17554,787,9,34630,37786,1,1,17554,10746,0
